lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_sm_todense,sp_smdm,total_sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
104935,30190,2283,0.00160539,0.2,5085929,13788125,286,34394,34680,49699,372,78718
104687,62677,694,0.00031941,0.15,2095829,6529094,141,3692,3833,9602,198,11534
48661,61929,2487,0.00047003,0.1,1416474,15405282,1447,6383,7830,18750,636,22355
104636,18989,7540,0.00034241,0.15,680376,21477432,1269,23942,25211,63377,289,45176
15239,2305,16071,0.00952101,0.23,334514,8522074,140,9024,9164,27148,209,29781
38625,18083,33855,0.00182521,0.03,1274885,18366819,6288,72861,79149,89916,2912,250530
99120,5167,1758,0.00182521,0.15,934917,1362866,72,4727,4799,14781,33,12013
127421,28581,11899,0.00082185,0.2,2993060,68021844,2588,125348,127936,274334,1777,268603
5977,61918,23382,0.00860544,0.03,3185260,43435153,15387,103455,118842,31954,13891,407728
28622,6023,25782,0.00056263,0.17,97005,26401930,1479,18654,20133,33049,319,26952
35424,35266,7029,0.00018467,0.03,230702,7437151,2579,9904,12483,3588,2449,16525
13856,26984,16641,0.00491597,0.005,1838207,2245358,2883,39979,42862,10679,2684,169514
73949,38630,8852,0.00047003,0.15,1342750,51297811,11968,44968,56936,89912,1360,75818
124497,22197,8624,0.01084252,0.15,29963611,28716034,1894,756963,758857,490478,423,1760519
11974,96365,2108,0.00082185,0.1,948369,20321664,4998,5377,10375,4281,5036,13501
113741,52296,7952,0.00000464,0.13,27600,54062954,12650,31803,44453,3114,2111,37494
62475,50142,11853,0.00108175,0.05,3388772,29718924,8517,80268,88785,106456,2918,241329
86495,75793,20085,0.00182521,0.0005,11965655,761169,8795,528523,537318,10871,8783,1460959
67778,67468,17886,0.01084252,0.03,49582161,36203817,21693,1430273,1451966,354393,5666,4727456
73727,50453,6133,0.00108175,0.01,4023863,3094590,2564,46393,48957,17650,2245,144060
60740,33953,7347,0.00015297,0.27,315475,67355810,2008,33219,35227,34511,1319,38176
134395,43005,4828,0.00002088,0.25,120680,51907729,1736,25594,27330,23945,430,20076
142067,99650,3320,0.00041097,0.13,5818115,43014289,2385,85335,87720,89320,713,156235
91878,79011,1585,0.00047003,0.3,3412190,37577321,1322,12034,13356,31053,663,35166
148744,14195,4049,0.00082185,0.25,1735369,14372376,264,21401,21665,79891,135,53723
51691,40676,21979,0.00491597,0.0005,10336477,447028,5503,357254,362757,8025,5563,1185490
131355,2093,9379,0.00952101,0.03,2617806,588994,58,58983,59041,44833,54,165750
23823,4098,31372,0.00082185,0.13,80255,16717387,1163,14660,15823,25260,321,24623
79806,43266,11330,0.00160539,0.13,5543327,63733088,3309,139780,143089,203480,2488,357598
134593,43061,8367,0.00108175,0.13,6269567,46841184,12142,188265,200407,205587,1827,378241
1845,30962,44492,0.00952101,0.005,544057,6888066,7506,41238,48744,5525,7210,141780
41847,20929,6892,0.00491597,0.1,4305644,14424885,1263,50113,51376,43913,477,155025
41029,74071,14479,0.00491597,0.03,14940441,32175416,13377,324280,337657,98583,4829,1135680
47220,24989,19836,0.02533638,0.05,29897665,24784903,2747,881988,884735,266948,2428,3006991
118043,87390,12550,0.00182521,0.0005,18828527,548385,7886,706167,714053,7686,7774,1589000
83322,26300,2170,0.00491597,0.25,10773141,14271019,582,48066,48648,69791,439,133094
17336,18634,23391,0.00078778,0.1,254495,43587966,10129,28449,38578,38387,1316,39233
64413,10721,10525,0.00031941,0.03,220582,3385353,933,10179,11112,4762,1310,21088
75825,41469,9371,0.00034241,0.13,1076679,50521505,11588,38378,49966,89502,1595,66745
109046,21660,1643,0.00163948,0.03,3872500,1067990,90,17736,17826,13104,360,43850
117887,43943,2704,0.00015297,0.17,792452,20207540,1154,14462,15616,29899,250,18511
70411,11972,24600,0.00013363,0.13,112654,38290496,8538,33516,42054,39323,841,31380
45114,10492,24379,0.00491597,0.01,2327126,2558055,2032,80791,82823,33352,1155,301658
117867,21275,9275,0.00018467,0.13,463104,25653800,1947,24610,26557,45113,1823,49129
137034,91065,2431,0.00002088,0.27,260563,59785667,1865,29664,31529,13050,1164,21612
90185,32471,5210,0.00047003,0.01,1376457,1691889,1377,17102,18479,5592,1240,49944
144112,87176,13029,0.00082487,0.05,10363023,56795187,17155,509582,526737,303187,5499,1050434
22530,10253,48658,0.00160539,0.03,370866,14967638,4765,36691,41456,38712,2337,112109
26419,12879,25452,0.00056263,0.1,191449,32781952,7639,24685,32324,36210,1451,40757
40505,12378,27829,0.00041097,0.2,206065,68898718,2688,42474,45162,80420,1630,25462
124839,80742,12194,0.00000464,0.05,46770,49230041,13468,38662,52130,3095,12209,49356
77031,584,19909,0.00491597,0.3,221416,3492264,97,17807,17904,67919,40,34985
46389,21677,12584,0.00082185,0.17,826472,46376622,1925,34539,36464,74011,709,62307
88987,57897,16601,0.00002483,0.03,127927,28835533,9691,37294,46985,5342,9218,49450
74393,61781,3466,0.00182521,0.23,8388939,49256590,1676,71328,73004,93399,437,157782
70243,18581,15137,0.00056263,0.13,734374,36566022,8572,38609,47181,88137,1440,77433
99551,65462,1370,0.00860544,0.15,56081368,13457341,460,185531,185991,116223,234,472963
101995,21211,15495,0.00018467,0.15,399527,49303159,11033,43004,54037,78032,1142,65043
29391,45554,31508,0.00163948,0.001,2195076,1435322,6961,100695,107656,3973,6743,382150
105828,74577,396,0.00056263,0.2,4440503,5911526,107,4464,4571,7926,109,12497
53857,9873,23597,0.00160539,0.13,853679,30288539,1575,45500,47075,127934,1197,118489
46060,31593,12477,0.00296184,0.15,4310071,59129895,2767,105406,108173,121873,1095,284582
60528,5350,3159,0.00182521,0.23,591139,3888820,75,4707,4782,18552,100,13005
88725,62419,9675,0.00952101,0.05,52729591,30197769,3579,1133087,1136666,334234,2777,2927142
3325,56230,3560,0.00296184,0.23,553791,46047145,2134,4745,6879,4584,1033,12925
141148,75771,13011,0.00160539,0.05,17169578,49293225,16644,827216,843860,351382,4737,1647627
30866,17183,18656,0.00078778,0.05,417827,16028511,4321,21655,25976,29220,1442,54496
81106,27977,18993,0.00013363,0.13,303222,69078256,15284,49948,65232,76537,1707,79298
47902,10258,40635,0.00860544,0.07,4228743,29180178,7747,263526,271273,262452,2054,895875
64348,19672,7712,0.00370564,0.2,4690976,30345813,1590,69520,71110,110950,311,193783
8093,11670,43230,0.00078778,0.07,74402,35315373,8447,24349,32796,13571,8289,24778
70750,40157,28409,0.00008429,0.03,239480,34225737,11672,50324,61996,16552,15863,84519
20235,42466,12237,0.00182521,0.03,1568424,15590396,5272,28007,33279,26522,5204,114418
81521,33249,22127,0.01084252,0.0005,29389118,367856,7998,1140998,1148996,26869,7319,3486157
138381,26832,9184,0.00018467,0.27,685694,66541578,1987,43440,45427,125825,1291,58298
78519,15235,6040,0.00082487,0.17,986777,15644394,886,15202,16088,56863,223,38015
19306,38528,22318,0.00041097,0.05,305707,42994698,11792,21194,32986,30542,10314,49972
61507,64168,3007,0.00013363,0.13,527416,25087802,1785,5236,7021,13013,449,13536
110118,17517,11225,0.00008429,0.25,162597,49161767,2319,30558,32877,40129,788,36449
22950,10175,25162,0.00296184,0.27,691700,69132631,2112,47689,49801,92847,1264,96421
39045,50871,3696,0.00082282,0.25,1634351,47005874,2107,9559,11666,32010,781,34758
13984,6161,15339,0.00860544,0.3,741545,28355267,1049,24123,25172,36579,246,59510
61837,15728,14842,0.02533638,0.13,24642471,30348225,1473,557502,558975,415586,1186,1869468
47667,89081,10811,0.00491597,0.01,20874712,9631434,9681,347351,357032,69247,8064,1168238
55938,9379,9133,0.00018467,0.15,96888,12849645,777,7758,8535,13500,390,13397
145291,29857,2164,0.00015297,0.25,663593,16158835,294,8402,8696,27333,146,13778
73450,28696,2701,0.00296184,0.17,6242903,13178472,245,29427,29672,47884,165,93451
13678,69478,997,0.00370564,0.13,3521622,9012222,209,4916,5125,4875,554,18911
123565,34426,2336,0.00182521,0.27,7764316,21716782,876,66099,66975,84849,178,124761
92341,7302,10440,0.00018467,0.2,124528,15248655,785,12122,12907,21304,168,21244
57417,4990,26049,0.00952101,0.27,2728256,35101184,1314,114566,115880,269536,288,386953
94340,10152,16472,0.02533638,0.1,24266025,16722661,1585,839718,841303,489409,332,962510
40319,72941,2948,0.00108175,0.05,3181408,10754886,3683,14466,18149,15681,3576,53022
52172,6086,36193,0.00056263,0.13,178653,28636974,6732,28872,35604,67004,1121,58368
127748,32756,8112,0.00082487,0.2,3451691,53149283,12622,94030,106652,195856,1393,214572
8095,56530,2191,0.00491597,0.13,2249845,16101643,1100,7034,8134,6460,4467,27497
89116,9732,5599,0.00019487,0.13,169010,7084026,171,7298,7469,10127,306,12887
9247,4600,6508,0.01084252,0.15,461280,4491926,103,3773,3876,7696,83,16290
35390,33639,6233,0.00078778,0.15,937867,31451509,7396,9831,17227,34773,425,35095
118270,5395,12366,0.00952101,0.17,6075596,11342507,208,214610,214818,244839,147,493463
74347,55846,7870,0.00952101,0.01,39531852,4395439,9793,528217,538010,100093,1966,1668677
40304,82417,1274,0.00082185,0.15,2729991,15760247,1002,5854,6856,9957,543,20113
39955,23735,3557,0.00296184,0.27,2808903,22801970,887,14226,15113,31345,1022,54641
26848,91981,3943,0.00296184,0.17,7314601,61671028,15672,43114,58786,49114,1855,177962
144711,3562,11177,0.00082185,0.27,423709,10752194,222,22519,22741,84222,96,47609
31079,62790,10888,0.00491597,0.01,9593404,6837252,6026,157632,163658,40408,5991,564415
41058,5686,11014,0.00108175,0.05,252587,3132040,551,8077,8628,10037,130,20858
96518,11880,20321,0.00047003,0.01,538974,2414244,1725,35467,37192,8353,1605,89347
40745,21940,7324,0.00182521,0.13,1631684,20892047,1465,23955,25420,40847,578,67111
60641,8346,26013,0.00860544,0.07,4355582,15198445,4795,180726,185521,204435,1085,612053
29953,2131,9350,0.00082487,0.3,52656,5978570,134,3755,3889,10588,120,6397
131345,20463,9563,0.00182521,0.27,4905692,52839445,2313,165338,167651,265773,784,344783
22580,33030,15081,0.00078778,0.07,587567,34871461,8822,27199,36021,37603,1092,65813
143107,69551,6835,0.00000434,0.13,43197,61802128,14648,32032,46680,3926,2449,35055
52745,5375,31446,0.00056263,0.17,159512,28734323,1746,26948,28694,64744,624,48752
32293,98352,2386,0.00031941,0.13,1014481,30511506,7476,6072,13548,10224,7133,10125
2876,2397,49094,0.02533638,0.27,174729,31776040,1241,10239,11480,23192,7093,46333
47130,68204,3695,0.00013363,0.25,429558,63007579,2142,6244,8386,31808,537,13699
118294,20939,4039,0.00034241,0.2,848149,16915945,384,13606,13990,44205,1115,32690
4962,7533,42916,0.00860544,0.2,321745,64663565,2424,49235,51659,49579,665,76678
24229,6527,12155,0.00952101,0.25,1505806,19835018,802,28941,29743,48706,178,97842
70079,93697,14418,0.00034241,0.01,2248370,13509704,8736,71149,79885,29144,8015,210460
85898,58075,6445,0.00370564,0.17,18485798,63637118,4473,301012,305485,270961,769,702813
11245,56010,8073,0.00019487,0.13,122741,58786002,13536,7276,20812,7970,13034,12019
138185,32186,7066,0.00491597,0.23,21865146,52309993,1659,529157,530816,451442,1187,1124554
135291,86397,9008,0.00163948,0.0005,19163682,389151,6474,611157,617631,5372,6165,1273477
113381,42933,4233,0.00860544,0.07,41890630,12722307,1602,497392,498994,185512,658,1137366
99329,63754,3157,0.00031941,0.15,2022723,30194512,7386,14775,22161,47175,487,46165
126359,94113,1349,0.00031941,0.13,3798479,16514541,1245,16151,17396,32680,542,38709
64180,3726,23916,0.00296184,0.13,708381,11586162,338,36337,36675,116156,218,103831
113464,39310,12161,0.00491597,0.1,21926787,47808862,3216,789097,792313,416693,2397,1754542
52836,68274,4864,0.00952101,0.001,34345805,332133,7714,263691,271405,9288,7853,877427
40403,90904,2211,0.00160539,0.3,5896288,60302294,1717,21084,22801,37877,1048,71788
38879,64726,18126,0.00031941,0.005,803800,5866271,6166,39364,45530,7997,6108,103892
112745,10219,10675,0.00015297,0.1,176246,10908998,408,15655,16063,16460,529,27719
96812,59640,213,0.00160539,0.27,9269477,3436330,59,5183,5242,7111,41,12669
141685,11046,7196,0.00041097,0.15,643231,11925181,866,19300,20166,53239,168,42764
77620,23824,7966,0.00018467,0.03,341503,5693951,2249,12598,14847,7924,305,25997
7002,34276,7315,0.00015297,0.27,36713,67699271,2174,3060,5234,4839,1320,4686
23575,8948,27730,0.00370564,0.27,781716,66996953,2168,60451,62619,107823,523,120840
140966,54271,5749,0.00002088,0.13,159741,40567960,9334,23356,32690,20061,608,25551
53554,40303,24466,0.00034241,0.03,739075,29582358,9713,50785,60498,44166,8694,132058
114156,7995,9008,0.00013363,0.3,121974,21609624,779,16041,16820,26740,166,21667
116075,22610,9987,0.01084252,0.27,28456074,60971279,1888,826964,828852,857444,1181,1882301
32906,3914,31697,0.00008429,0.2,10858,24816783,1204,16498,17702,5068,316,17386
137955,35382,14524,0.00078778,0.1,3845302,51389721,13160,199134,212294,276094,2595,437749
130389,74520,2007,0.00001651,0.2,160423,29926512,1439,12886,14325,5409,772,11857
81359,68007,17325,0.00078778,0.05,4358862,58912212,17417,171468,188885,205045,5646,483893
98260,16174,8581,0.00491597,0.13,7813044,18043845,1286,172995,174281,165157,474,420081
15559,17880,12488,0.00015297,0.17,42558,37963300,8604,4286,12890,6444,1162,18020
123371,30844,8668,0.00160539,0.13,6109075,34757461,9252,173106,182358,198590,1356,377116
27298,79766,4489,0.00163948,0.01,3569962,3581339,3058,25667,28725,11252,2797,89637
141553,4492,5300,0.00047003,0.23,298938,5477088,138,9590,9728,26853,63,18896
5226,6183,36112,0.00296184,0.2,95718,44659764,1814,6759,8573,19148,9792,22029
106799,17837,15074,0.00952101,0.2,18137811,53778313,2055,720904,722959,555376,1383,1730856
97393,27304,10877,0.00041097,0.03,1092894,8909871,3068,32523,35591,29861,1418,90149
14070,53083,14692,0.02533638,0.01,18924549,7799590,8489,376718,385207,35437,7876,1439452
47748,2131,15014,0.00160539,0.23,163390,7360783,121,9706,9827,35097,80,20323
88232,60784,23716,0.00182521,0.001,9788985,1441623,7821,526233,534054,17520,7752,1410079
58590,32693,7041,0.00108175,0.13,2072146,29926629,1632,34854,36486,57292,1112,82174
29902,28984,38266,0.00108175,0.03,937572,33274410,11468,70277,81745,76994,5176,217923
84201,22342,9230,0.01084252,0.2,20397716,41245006,1550,391455,393005,385863,1077,1042581
2931,62754,8260,0.02533638,0.07,4661285,36287038,9691,51134,60825,24041,9962,200444
49865,41784,1999,0.00082282,0.27,1714412,22559740,369,5841,6210,16648,449,24767
32149,36429,16534,0.00002088,0.1,24454,60236341,13952,30421,44373,3922,13230,13334
77232,67089,4255,0.00860544,0.13,44588813,37115150,1804,341898,343702,233931,1462,1014439
39010,9078,33934,0.00370564,0.15,1312402,46212117,10630,79431,90061,189461,1583,241991
110072,20278,11682,0.00860544,0.2,19208585,47382558,1792,621006,622798,444126,1227,1419988
59585,74754,16187,0.00015297,0.005,681372,6050546,6621,38369,44990,4312,6273,88303
59470,41601,16892,0.00041097,0.01,1016753,7027616,4463,38478,42941,14283,4567,111859
73733,72452,704,0.00047003,0.3,2511000,15312633,536,3234,3770,9113,158,11516
43133,62942,2652,0.00047003,0.13,1276096,21701382,1546,6466,8012,19887,684,20810
83377,64028,11307,0.00041097,0.03,2194003,21720017,7553,59569,67122,66023,3398,170219
36458,44661,39969,0.00952101,0.005,15503072,8925613,12333,934983,947316,138056,7175,3176011
48803,4118,39748,0.00047003,0.15,94477,24556103,1508,28241,29749,45468,588,43682
141588,21428,3550,0.00018467,0.1,560287,7608172,289,9834,10123,17138,476,21584
63548,45979,19191,0.00056263,0.05,1643964,44120881,12343,72080,84423,117006,4252,202891
26703,74691,22749,0.00008429,0.01,168118,16992017,10468,38779,49247,3553,10506,56702
63747,46730,22053,0.00082185,0.005,2448262,5152867,5745,94304,100049,19598,5958,311427
131722,73298,2970,0.00034241,0.07,3305963,15243092,4547,35055,39602,44417,1085,78642
33185,86416,16935,0.00952101,0.001,27304208,1463532,10852,680854,691706,24813,10188,2369563
69175,16274,14814,0.00047003,0.05,529169,12055484,3568,22310,25878,29210,1188,59227
109228,25348,5275,0.00163948,0.13,4539417,17384897,1224,71297,72521,93938,435,160415
142562,37467,3085,0.00041097,0.15,2195162,17338286,1102,26669,27771,58969,242,54679
147751,75258,10129,0.00031941,0.005,3551712,3811632,4541,128220,132761,14374,4704,294244
32314,2144,8760,0.00296184,0.15,205221,2817707,73,4814,4887,14211,551,12748
139897,49460,2960,0.00182521,0.05,12629356,7321594,1291,142512,143803,70782,466,275669
83826,30839,11021,0.02533638,0.17,65497623,57781073,2672,1372056,1374728,1055493,680,3917770
113894,7882,5236,0.02533638,0.13,22745018,5365824,166,285441,285607,162839,96,301817
142464,94820,844,0.00160539,0.3,21686349,24010189,808,69522,70330,70138,439,138342
119561,1522,6054,0.01084252,0.17,1973556,1566962,70,27729,27799,71045,34,80668
71571,86576,17575,0.01084252,0.03,67184552,45649148,27765,1948960,1976725,455431,7278,6344489
53559,66856,3035,0.01084252,0.0005,38825420,101458,1211,186126,187337,3125,880,604805
81724,58758,3114,0.00002088,0.25,100265,45750072,10620,3911,14531,6319,970,15494
59148,13274,9381,0.01084252,0.005,8513016,622645,184,132249,132433,26554,345,424570
100118,11748,9226,0.00182521,0.25,2146861,27099502,1219,55592,56811,152398,235,135648
112858,36186,11984,0.00031941,0.13,1304471,56380562,12867,60434,73301,154425,2229,121227
128860,43932,14497,0.00034241,0.005,1938426,3184489,3768,83227,86995,11701,3644,227207
4326,40343,6596,0.00370564,0.13,646812,34596220,1809,7769,9578,6827,1356,25705
33442,7980,13858,0.00041097,0.23,109680,25436471,1098,14760,15858,25018,362,7927
127953,32276,13165,0.00370564,0.13,15304082,55241997,16102,679207,695309,399589,2177,1404512
7814,59894,5017,0.00047003,0.07,219995,21037113,5326,5512,10838,3822,5168,8869
39260,76247,5278,0.00056263,0.15,1684267,60366717,13619,16575,30194,29867,13389,52737
84252,55455,8994,0.00013363,0.07,624351,34917097,8517,30762,39279,36571,1905,61989
104484,3891,5277,0.00491597,0.13,1998911,2669932,127,25872,25999,58553,56,70001
50720,6003,36444,0.00108175,0.17,329375,37192673,1617,43212,44829,134107,1147,85870
47679,20880,10732,0.01084252,0.05,10794459,11205034,5452,187032,192484,83706,1121,610004
